n,gamma,perceptron_weights,svm_weights,perceptron_error,svm_error,svm/percp
10,0.16668761244741617,[0.31077715 1.46219495],[1.11867987 2.47775481],0.0,0.0,1.8186269698423798
10,0.5685878419243294,[ 0.21773888 -0.14567467],[-0.92055578 -0.69783306],0.0,1.0,4.409413489627355
10,0.6900404874845598,[-0.84908936  0.21482045],[-2.48815543  0.75130891],0.0,0.5,2.9675552914860326
10,0.027126826684914843,[-1.73750605  0.66631941],[-1.54915476  0.14568772],0.0,0.0,0.8361540877900785
10,0.09232687934817571,[0.34553011 1.96862441],[0.32764564 1.58041556],0.0,0.5,0.8075283671283995
10,0.11614622191337376,[-0.5100313  -0.95535556],[ 1.15150368 -0.53942901],0.0,1.0,1.1741642902623446
10,1.5066820522848812,[-0.1667121   0.83216621],[ 1.36795996 -0.64353532],0.0,0.0,1.7812763913465712
10,0.10708539751205336,[ 1.31765011 -1.04631146],[ 1.69911307 -0.28022312],0.0,0.5,1.0234865051640791
10,0.05857351553710826,[-1.69574601 -4.25729245],[-2.26823284 -1.37438525],0.0,0.0,0.5787418089087563
10,0.17103375628045914,[-0.1460268   0.28069636],[-0.52827929  1.11108726],0.5,0.0,3.888272381774456
10,0.3076682961628053,[-0.07981025  0.14311156],[-0.79035948  2.49999586],0.0,0.0,16.001041774798026
10,0.11596994466899838,[1.05905099 1.95575004],[0.74015089 1.78201696],0.0,0.5,0.8675993597498457
10,0.1409351893245718,[-1.68588835 -1.0032088 ],[-1.57370411 -1.2356321 ],0.0,0.5,1.0198979107156416
10,0.00010464658372422916,[-1.13596727  1.79056851],[-2.06349918  2.30878492],0.5,0.5,1.4602783686206906
10,0.07201030005355197,[0.12258087 0.49883525],[-1.67271048 -2.15705101],0.5,0.5,5.3138994103749715
10,0.506314085224457,[-0.46311786 -0.01389952],[-1.19942787 -0.28568743],0.0,0.0,2.6611520091481413
10,0.15209328340198303,[-0.05684779 -0.23637687],[0.60219282 2.61431136],0.0,0.5,11.034913442378565
10,0.24831183778451268,[0.15924105 0.47252501],[-0.07943921  1.75859747],0.0,1.0,3.530414418512093
10,0.004134168887463488,[2.56720777 2.4674619 ],[0.38317159 1.53749943],0.0,0.0,0.44499832118106086
10,0.06971237911858033,[-1.35004015  1.71868784],[-1.53113303  2.5148748 ],0.0,0.0,1.3471900511686021
10,0.03135377293635453,[ 0.06991658 -0.1255505 ],[ 2.04832672 -1.33241903],0.5,0.5,17.003944905606257
10,0.06945072512410796,[ 0.59678413 -0.23440146],[ 1.19537201 -0.16320854],0.0,0.5,1.8816657296706105
10,1.0578884446445733,[-0.43352834 -0.52436973],[-0.24389071  1.90480616],0.0,0.5,2.8224962993056577
10,1.4011700232443893,[-0.27217976 -0.13345237],[1.45401946 0.92971736],0.0,0.0,5.6933107949131125
10,0.02702494319403584,[-0.2884235   0.84290629],[0.41521598 1.91759677],0.5,0.5,2.2023396049189126
10,2.6553919579926446,[0.80681068 0.27421945],[ 1.63037135 -1.10369051],0.0,0.0,2.3104438032347296
10,0.2636847190147859,[-0.4564724   0.69229507],[2.02639487 1.24936324],0.0,0.0,2.870802202793724
10,0.0014928043535317671,[-2.69728229  0.5339814 ],[-3.15925954  0.05313828],0.0,0.0,1.1491385483803038
10,0.054286305897578296,[-1.29244405  0.70296457],[-2.79835842 -0.27155369],0.5,0.0,1.9109649077395605
10,0.1421919202222973,[-0.69847294 -0.99298002],[-0.34021271 -1.35835019],0.0,0.5,1.1534350420466168
10,0.08397794056743663,[2.64113503 0.84478914],[1.28378875 1.6390138 ],0.0,0.5,0.750803234576561
10,0.05828961434781473,[-2.65037956 -0.70888122],[-2.9917405  -1.53461642],0.0,0.0,1.2255593701210337
10,0.3875570960510693,[ 0.8141441  -1.28009608],[ 1.54144824 -0.12611025],0.0,0.0,1.019469563561608
10,0.5463962221784188,[ 1.09255061 -0.85415164],[ 2.78159695 -0.82560796],0.0,0.0,2.0922375090025396
10,0.0008401287788949362,[-1.25506133 -2.09208214],[-0.32606811 -0.9956613 ],0.0,0.5,0.4294408049851578
10,0.4096514729541142,[ 0.11781672 -0.21906681],[ 1.3644298  -0.34727572],0.0,0.5,5.660275590831713
10,0.8901691081366179,[0.21828292 0.23824816],[-1.34547938 -0.20032269],0.0,0.5,4.209860577978719
10,0.20980186736791437,[-1.72805456 -1.32839411],[-1.42529957 -0.80858414],0.0,0.0,0.7518164707405178
10,0.02628734612164434,[-0.76049803  0.70847211],[-0.71964123  1.60086021],0.0,0.0,1.6886905916646817
10,0.06695777071910848,[ 0.19243594 -0.31815918],[ 1.25720573 -0.16284756],0.0,0.5,3.4093859234507793
10,0.15442033843565933,[ 0.49361103 -0.56016513],[-0.07476377  1.08666397],0.0,1.0,1.4588912023383926
10,0.10863685366659687,[-1.58020708 -0.22137456],[-2.96333516 -0.4136278 ],0.0,0.0,1.8751515573696667
10,0.008732691411855656,[-0.91668094 -0.38879832],[1.38626799 0.97645883],0.0,0.0,1.702924818343587
10,0.2617204195807835,[ 0.28683557 -0.44179911],[ 0.81044667 -1.46937389],0.0,0.5,3.185710338882368
10,0.08983035570780411,[2.10803648 0.74200498],[1.52828276 1.79626792],0.0,0.5,1.0553175205214163
10,0.1341557670834088,[-0.88468738 -0.36564121],[ 0.56245083 -2.97152028],0.0,0.0,3.1592793345088444
