n,avg perceptron_error,svm_error
1024,0.9986083984375,0.998291015625
1024,0.99456787109375,0.984375
1024,0.99665283203125,0.996337890625
1024,0.98849853515625,0.995849609375
1024,0.99810302734375,0.99609375
1024,0.99408935546875,0.991455078125
1024,0.9942578125,0.993408203125
1024,0.98830810546875,0.994140625
1024,0.986640625,0.99755859375
1024,0.99392333984375,0.9970703125
1024,0.9848291015625,0.99609375
1024,0.99606201171875,0.98974609375
1024,0.9952197265625,0.9921875
1024,0.98710205078125,0.991943359375
1024,0.99379638671875,0.98779296875
1024,0.98556640625,0.984375
1024,0.99844970703125,0.99365234375
1024,0.989052734375,0.994384765625
1024,0.99418212890625,0.990234375
1024,0.99024169921875,0.998046875
1024,0.99586669921875,0.995361328125
1024,0.99552001953125,0.99560546875
1024,0.99772705078125,0.98828125
1024,0.99170654296875,0.99072265625
1024,0.9895849609375,0.99072265625
1024,0.9960009765625,0.989990234375
1024,0.993427734375,0.995849609375
1024,0.989423828125,0.99560546875
1024,0.997041015625,0.99267578125
1024,0.9989892578125,0.99853515625
1024,0.98716796875,0.988525390625
1024,0.99409423828125,0.98486328125
1024,0.9976953125,0.9931640625
1024,0.9861279296875,0.997314453125
1024,0.9956640625,0.989501953125
1024,0.99525634765625,0.990966796875
1024,0.99306640625,0.992431640625
1024,0.99179443359375,0.993896484375
1024,0.988037109375,0.99169921875
1024,0.99857421875,0.994873046875
1024,0.99195068359375,0.998046875
1024,0.98450927734375,0.998291015625
1024,0.99609375,0.9912109375
1024,0.99343017578125,0.98828125
1024,0.99642822265625,0.99853515625
1024,0.99133056640625,0.993896484375
1024,0.9936865234375,0.99267578125
1024,0.99255126953125,0.994384765625
1024,0.99628173828125,0.984375
1024,0.98900390625,0.997314453125
1024,0.993779296875,0.99609375
1024,0.99349853515625,0.99609375
1024,0.99847900390625,0.998779296875
1024,0.9958740234375,0.998779296875
1024,0.9966015625,0.99609375
1024,0.9973779296875,0.99365234375
1024,0.99151123046875,0.99365234375
1024,0.99455810546875,0.99609375
1024,0.99347900390625,0.99755859375
1024,0.99701416015625,0.9892578125
1024,0.9868017578125,0.997314453125
1024,0.98,0.993896484375
1024,0.994580078125,0.993896484375
1024,0.99725341796875,0.995849609375
1024,0.991435546875,0.9921875
1024,0.9971875,0.994384765625
1024,0.99596923828125,0.99169921875
1024,0.9937353515625,0.991943359375
1024,0.99814697265625,0.99267578125
1024,0.99559326171875,0.998291015625
1024,0.99780517578125,0.994873046875
1024,0.99414794921875,0.989990234375
1024,0.9918017578125,0.987548828125
1024,0.99135498046875,0.993896484375
1024,0.994658203125,0.993408203125
1024,0.996884765625,0.997314453125
1024,0.989384765625,0.99560546875
1024,0.99723388671875,0.994140625
1024,0.994326171875,0.98681640625
1024,0.993154296875,0.9873046875
1024,0.99676513671875,0.996337890625
1024,0.9863671875,0.9921875
1024,0.99708740234375,0.994140625
1024,0.991826171875,0.993896484375
1024,0.998134765625,0.99609375
1024,0.99436767578125,0.995849609375
1024,0.99619140625,0.99267578125
1024,0.9972607421875,0.994140625
1024,0.9918798828125,0.990234375
1024,0.99612548828125,0.99462890625
2048,0.993350830078125,0.996826171875
2048,0.992825927734375,0.9981689453125
2048,0.995521240234375,0.9969482421875
2048,0.998551025390625,0.9923095703125
2048,0.99656494140625,0.99951171875
2048,0.99796875,0.9967041015625
2048,0.9947705078125,0.9964599609375
2048,0.9967919921875,0.9942626953125
2048,0.9897412109375,0.998291015625
2048,0.99346923828125,0.9942626953125
2048,0.992869873046875,0.9915771484375
2048,0.995108642578125,0.998046875
2048,0.99846435546875,0.996826171875
