n,gamma,perceptron gamma,svm gamma,perceptron_error,svm_error
1700,6.234188605240246e-05,0.0009947205584987595,6.006517992477039e-05,0.041176470588235294,0.0
1700,0.0006609129024560325,0.0002086649761751466,0.0007874135670368795,0.0,0.0029411764705882353
1700,0.00021699480099677501,0.0010400687415776909,0.00012348153020921103,0.0,0.0058823529411764705
1800,0.00011327946503988577,0.00028371735972200875,0.0011279652744983959,0.002777777777777778,0.002777777777777778
1800,0.000362094550892972,0.0016175216802853877,0.0003925766446714456,0.002777777777777778,0.005555555555555556
1800,0.0009822327114444465,0.00010528280282717398,0.0006298403325419533,0.005555555555555556,0.0
1800,5.6033866465107166e-05,0.0001255994964146536,0.00022924031534015668,0.0,0.002777777777777778
1800,0.0020807871974965237,0.0027687381232429204,0.0009211117900757653,0.0,0.005555555555555556
1800,0.0009110572190203731,0.00017308232720268882,0.00028950577830896715,0.0,0.002777777777777778
1800,0.0001011964651599111,0.0007039293931357402,0.002816839295967159,0.03611111111111111,0.005555555555555556
1800,5.867677521780025e-05,4.229631079484241e-05,0.0005067332158613957,0.0,0.0
1800,0.000995658997800399,0.000957098165025312,0.0003586663933829549,0.0,0.0
1800,8.952214545075338e-05,0.0003270924352611241,0.0001678783387406111,0.002777777777777778,0.002777777777777778
1900,0.0002426467574228488,0.0010719553642755386,1.4247544927478215e-05,0.002631578947368421,0.005263157894736842
1900,0.00032296692727254065,0.0003230872897747544,0.00046082781359239384,0.0,0.002631578947368421
1900,1.7646563425926462e-05,9.69839434984644e-05,0.002074502869461855,0.07105263157894737,0.018421052631578946
1900,0.0001779317893379517,0.000247587517768931,2.5734770314981766e-05,0.0,0.007894736842105263
1900,0.0003273268336673789,0.0008197294484381017,0.0003591361115395668,0.0,0.002631578947368421
1900,0.00029591433590363643,0.0007483777928938303,0.0010446597849892516,0.0,0.010526315789473684
1900,0.00045790584668817556,0.00013482233454411072,0.00014812755426042004,0.04473684210526316,0.010526315789473684
1900,0.0005044929896267084,0.0007617505645982775,0.00025208490192344345,0.0,0.0
1900,0.00010572207666022721,0.0013219029475307553,0.00041329658575863643,0.0,0.0
1900,0.0009333398683397433,0.0002458485295544352,0.0004439286935976167,0.018421052631578946,0.018421052631578946
2000,0.0007043549795938765,0.0007177740141060552,0.0004095328055636055,0.0,0.005
2000,0.00048665708127790236,3.117859073295044e-05,0.00016187830308366863,0.005,0.0025
2000,0.00015510750645177505,0.0008140838394844546,0.0007370547987165132,0.0025,0.0025
2000,0.0005375641349825005,0.002097131617061872,0.0009008263929782051,0.005,0.01
