n,avg perceptron_error,svm_error
256,0.9903625000000001,0.9696875
256,0.9884312499999999,0.97140625
256,0.9905265624999998,0.97390625
256,0.9913624999999999,0.9940625
256,0.9880671874999999,0.96515625
256,0.9888687500000001,0.9721875
256,0.9739984375,0.97296875
256,0.99080625,0.99546875
256,0.988334375,0.974375
512,0.996253125,0.985
512,0.9943203125,0.99234375
512,0.9943296875000002,0.991640625
512,0.99696640625,0.982109375
512,0.9917999999999999,0.987578125
512,0.9926710937499998,0.9840625
512,0.990090625,0.998828125
512,0.9862859375,0.988984375
512,0.98940234375,0.989296875
512,0.9914531249999999,0.98578125
512,0.9782570312500001,0.97765625
512,0.9961453124999999,0.9846875
512,0.9923156249999999,0.990859375
512,0.9873578124999999,0.99171875
512,0.98941015625,0.995546875
512,0.9922937499999999,0.984140625
512,0.9842640625000001,0.991015625
512,0.9843992187499999,0.99484375
512,0.9890078125000001,0.9928125
512,0.9908804687499999,0.98765625
512,0.9925187500000001,0.991953125
512,0.9889320312500002,0.987890625
512,0.9882171875,0.991328125
512,0.9923257812499999,0.994296875
512,0.9935031249999998,0.992109375
512,0.9938523437499999,0.989375
512,0.9917773437500002,0.996171875
512,0.9867671874999999,0.982890625
512,0.9863835937500001,0.98203125
512,0.9917156249999999,0.989296875
512,0.9937320312499999,0.991953125
512,0.9914539062499999,0.983828125
512,0.9842351562499999,0.996328125
512,0.99465,0.982421875
512,0.9946859375,0.99609375
512,0.9939421875000001,0.996640625
512,0.9787015625,0.989765625
512,0.9958750000000001,0.990546875
512,0.9951593750000001,0.992265625
512,0.9824124999999999,0.990859375
512,0.9939546875,0.977421875
512,0.9916046875,0.992890625
512,0.99576796875,0.97765625
512,0.9870187499999998,0.996640625
512,0.99792421875,0.990390625
512,0.9970453125000001,0.989375
512,0.98955625,0.983984375
512,0.9923906250000001,0.998203125
512,0.9922421874999999,0.988984375
512,0.9911445312500001,0.9828125
512,0.9893359375000002,0.9959375
512,0.9884015625000002,0.996953125
512,0.9810484375,0.991953125
512,0.9917062500000001,0.9865625
512,0.9893757812500001,0.9846875
512,0.9876960937499999,0.98421875
512,0.99590234375,0.995234375
512,0.99315703125,0.995
512,0.9935039062499998,0.98984375
512,0.9795390625,0.98375
512,0.9967281250000001,0.983203125
512,0.9861945312499999,0.989921875
512,0.993940625,0.98515625
512,0.99186953125,0.982109375
512,0.9953382812499999,0.990703125
512,0.9909960937500002,0.99015625
512,0.9951312499999999,0.9784375
512,0.9785929687500001,0.97625
512,0.9865140625,0.994453125
512,0.9939734375,0.99015625
512,0.9912671875,0.985546875
512,0.9892664062500001,0.98453125
512,0.9956031250000001,0.990078125
512,0.9941062500000001,0.993203125
512,0.9959375,0.99078125
512,0.9943773437499999,0.99515625
512,0.9953914062500001,0.99296875
512,0.9912078124999999,0.98890625
512,0.9961109375000001,0.99109375
512,0.99574140625,0.995234375
512,0.9923578125000002,0.9909375
512,0.98608125,0.9784375
512,0.9902117187499999,0.989140625
512,0.9834203125000001,0.9828125
512,0.9801390625,0.981796875
512,0.9869453125,0.98984375
512,0.99286875,0.995625
512,0.99280703125,0.984453125
512,0.9798187500000002,0.98859375
512,0.9932109375000002,0.984453125
512,0.9923523437500001,0.995546875
512,0.9949257812500001,0.994453125
512,0.9937851562500001,0.9890625
512,0.9960515624999999,0.98890625
512,0.9890789062500002,0.98609375
512,0.9879070312500001,0.980859375
512,0.9974046875000002,0.99421875
512,0.9899296875,0.9753125
512,0.9958890625000002,0.9878125
512,0.98946875,0.97984375
1024,0.996907421875,0.9927734375
1024,0.996309375,0.996875
1024,0.9968292968749998,0.993203125
1024,0.9936675781249998,0.9900390625
1024,0.9819996093750001,0.991875
1024,0.9925839843750001,0.9930859375
1024,0.997474609375,0.994453125
1024,0.9983464843750001,0.9907421875
1024,0.996502734375,0.9944921875
1024,0.9969730468750001,0.994140625
1024,0.9945640625000002,0.995546875
1024,0.9931664062499999,0.9965234375
1024,0.9957843749999999,0.993984375
1024,0.995752734375,0.9873046875
1024,0.9916980468750002,0.998671875
1024,0.9940824218750001,0.996484375
1024,0.99796640625,0.9857421875
1024,0.9847015624999998,0.99
1024,0.9944675781250001,0.9931640625
1024,0.9918843749999999,0.991640625
1024,0.98846328125,0.9937890625
1024,0.993291796875,0.99765625
1024,0.9917800781250001,0.98984375
1024,0.991494921875,0.99359375
1024,0.99522734375,0.98796875
1024,0.993278515625,0.986328125
1024,0.9910628906250001,0.99
1024,0.986640234375,0.9924609375
1024,0.997229296875,0.9930078125
1024,0.9879417968750001,0.9919921875
1024,0.987072265625,0.996484375
1024,0.99597890625,0.995078125
1024,0.9928113281250001,0.991484375
1024,0.9954304687499999,0.9920703125
1024,0.9936136718749999,0.9989453125
1024,0.98982109375,0.993359375
1024,0.996241796875,0.9969921875
1024,0.9845234375000002,0.998125
1024,0.9965843750000001,0.9933984375
1024,0.9919570312500001,0.9918359375
1024,0.9983105468750001,0.99
1024,0.9896109375000001,0.9984375
1024,0.993646875,0.9963671875
1024,0.9967949218749997,0.99515625
