n,margin,avg perceptron_error,svm_error
100,0.060871493681845204,0.9632999999999999,0.9656
100,0.06552012376325683,0.9859680000000002,0.964
100,0.06662232564038345,0.984604,0.9696
100,0.06830698100665485,0.9801199999999999,0.9764
100,0.07614574498326546,0.9800080000000001,0.9868
100,0.08226746243286456,0.9810000000000001,0.9764
100,0.08769563133886009,0.9828520000000001,0.9596
100,0.08894160213397591,0.9760120000000001,0.984
100,0.10134866325658143,0.9776839999999997,0.9888
100,0.11304714274510672,0.975432,0.9748
100,0.1271804342152444,0.978308,0.978
100,0.14818926351398284,0.9755080000000003,0.9896
100,0.15278096649836365,0.9663359999999999,0.9708
100,0.16323310859828116,0.964732,0.9888
100,0.16715699880587961,0.970292,0.978
100,0.17033344825178098,0.9713119999999997,0.972
100,0.17208900293413473,0.9708519999999998,0.9612
100,0.21629972909104356,0.9691440000000001,0.968
100,0.21826968475465505,0.962136,0.9912
100,0.223484766930769,0.957264,0.9844
100,0.2257220769838107,0.9574839999999999,0.9844
100,0.22659272464120198,0.951164,0.9888
100,0.23499751318523265,0.954936,0.9928
100,0.24686323574914948,0.9572999999999999,0.994
100,0.2470403361620529,0.95626,0.9976
100,0.2576784903135551,0.9480320000000002,0.9876
100,0.27109443079011286,0.9646999999999999,0.9976
100,0.2714648304397373,0.9531359999999998,0.9836
100,0.2804218435375235,0.9395760000000002,0.9936
100,0.28207484238633096,0.9479399999999998,0.9876
100,0.285513426947668,0.9581399999999999,0.9872
100,0.28661279342703827,0.9491399999999999,0.9892
100,0.2943512088812212,0.947544,0.9784
100,0.2954013027067651,0.9251,0.9856
100,0.296304793802454,0.936232,0.974
100,0.32495388721731305,0.938236,0.9908
100,0.32513625352498143,0.9533600000000001,0.9948
100,0.33556842304131385,0.9552279999999999,0.984
100,0.34582996580864916,0.957404,0.9928
100,0.3468055993867252,0.9222680000000001,0.988
100,0.35616214287828474,0.9273560000000001,0.988
100,0.3752850177760357,0.9108679999999998,0.982
100,0.37731761171384065,0.935452,0.9888
100,0.37906967768178224,0.9151560000000001,0.9924
100,0.38323015878588607,0.934444,0.996
100,0.39269301774406207,0.9485399999999999,0.9904
100,0.39305504315901973,0.9401,0.9908
100,0.39957989737256366,0.9350160000000001,0.9876
100,0.3996463548937044,0.9476799999999999,0.982
100,0.40192826517515917,0.937368,0.9964
100,0.406982882384695,0.917632,0.98
100,0.40873105907431156,0.927276,0.9972
100,0.4150313571861714,0.9389839999999999,0.9872
100,0.41754438042337594,0.93914,0.9872
100,0.41806824700953593,0.9327840000000001,0.9876
100,0.4190678132331347,0.945548,0.994
100,0.42072602993684793,0.9406879999999999,0.9948
100,0.42641554204162413,0.9227679999999999,0.9872
100,0.42705196175469545,0.928808,0.994
100,0.43142261488173156,0.9197240000000001,0.9848
100,0.4372669941807875,0.9116600000000001,0.9816
100,0.4509243149429479,0.9212920000000001,0.9952
100,0.45350188946358977,0.9366760000000001,1.0
100,0.45876869470301795,0.935832,0.9916
100,0.47154619216821275,0.934512,0.9884
100,0.4770158161790818,0.9386160000000001,0.998
100,0.4822223441928904,0.929328,0.9948
100,0.48576504816857835,0.936152,0.9996
100,0.49025505347589865,0.9348960000000001,0.9952
100,0.4914196853749942,0.93078,0.9924
100,0.4950876555093215,0.9329319999999997,0.9936
100,0.4977853866777054,0.906304,0.9932
100,0.5126660703401398,0.912356,0.9904
100,0.5187989582670283,0.9101319999999999,0.996
100,0.5230706411526614,0.922064,0.9864
100,0.5263730836597226,0.898464,0.9964
100,0.5304196907357803,0.9134079999999999,0.9912
100,0.5329482182620375,0.9375799999999999,0.998
100,0.5450735109994649,0.9304319999999998,0.998
100,0.5476012906655217,0.91212,0.9944
100,0.5480243861055268,0.9230959999999999,0.9972
100,0.5480825495154741,0.8946679999999998,0.9936
100,0.5509039551227822,0.92374,0.9912
100,0.5635905239139736,0.9251999999999999,0.9988
100,0.5646711993375317,0.9179559999999999,0.998
100,0.5652466684974219,0.9052239999999999,0.9904
100,0.5692256354140882,0.9193680000000001,0.9996
100,0.5729124187898847,0.890248,0.99
100,0.5821933225641909,0.9165439999999999,0.9988
100,0.5863958587719094,0.9117360000000002,0.9996
100,0.5937937306741589,0.9150919999999999,0.9956
100,0.5964883368717855,0.92098,0.998
100,0.6069774449385301,0.9072959999999999,0.9932
100,0.039927071914966465,0.989404,0.9888
100,0.048733917409304175,0.9850800000000001,0.9924
100,0.06428530524449684,0.981964,0.9348
100,0.06590214326795424,0.9806679999999999,0.9864
100,0.0702794056862832,0.9825920000000002,0.9772
100,0.0764237111971107,0.9821560000000001,0.9648
100,0.07968334029621868,0.9789960000000001,0.9816
100,0.08097677150568697,0.9755320000000001,0.9672
100,0.08099999232259715,0.979848,0.9716
100,0.08274577756235492,0.9828920000000001,0.96
100,0.09161818326177637,0.980716,0.9848
100,0.0920586168663652,0.964784,0.9676
100,0.09419304212759025,0.976892,0.966
100,0.10191766517198152,0.9766560000000001,0.9628
100,0.10472368109123303,0.978864,0.9792
100,0.10487064602266821,0.9752040000000001,0.986
100,0.12014297647453612,0.973472,0.98
100,0.13293684465904532,0.979968,0.9876
100,0.13401299722577498,0.9742760000000001,0.9728
100,0.13738872261859392,0.9762999999999997,0.9744
100,0.1408279592045365,0.966676,0.98
100,0.14488297960009763,0.967616,0.9784
100,0.14770234483554617,0.960128,0.9832
100,0.14813101427377337,0.9736480000000002,0.9816
100,0.14985785096109008,0.972604,0.9868
100,0.15056033865388316,0.9606560000000001,0.9836
100,0.15144078152301327,0.976712,0.9788
100,0.16213616702685632,0.9667319999999999,0.99
100,0.16783295670021378,0.9601000000000001,0.9764
100,0.17445293814727578,0.95988,0.9796
100,0.17588996576803145,0.9466000000000001,0.9748
100,0.20117512254293407,0.95698,0.98
100,0.2047121219164273,0.9511080000000001,0.9868
100,0.20691159680718266,0.9650680000000001,0.9928
100,0.2202413826851764,0.968776,0.9868
100,0.22386289640021678,0.9667999999999999,0.9888
100,0.2282165440449317,0.9611120000000001,0.9892
100,0.24530171514782348,0.9577199999999999,0.9936
100,0.2502740232960598,0.95922,0.9808
100,0.25089989267120993,0.963016,0.9744
100,0.2791720310548281,0.956404,0.9896
100,0.27933024474263907,0.9599759999999999,0.9816
100,0.29504908307797323,0.9524159999999999,0.9928
100,0.29851071277997987,0.941152,0.996
100,0.30006197253220557,0.956636,0.9852
100,0.3066753600147066,0.9461319999999998,0.9852
100,0.309890519345684,0.922264,0.9784
100,0.3116771885598674,0.9391199999999997,0.9952
100,0.32022875835200654,0.9328679999999998,0.9936
100,0.3205251582113766,0.960852,0.992
100,0.324868411948717,0.9340040000000002,0.9892
100,0.3259864715652293,0.956424,0.9924
100,0.33219407023823155,0.9313000000000001,0.9816
100,0.33274852426525675,0.9348799999999998,0.9964
100,0.33286991964948903,0.9533919999999999,0.99
100,0.3347819613580655,0.9449319999999999,0.9904
100,0.338923634778279,0.9514599999999999,0.9836
100,0.34118962423276367,0.95056,0.992
100,0.3414636620510784,0.9478600000000001,0.9892
100,0.35123482200007317,0.954256,0.992
100,0.3535764759747491,0.9374680000000002,0.998
100,0.3536097189746089,0.9334079999999997,0.9848
100,0.35419385537205633,0.951152,0.996
100,0.3542690127178426,0.9187960000000001,0.996
100,0.35964840673316134,0.9481679999999999,0.998
100,0.36153411353457104,0.930728,0.9972
100,0.3627359376030567,0.9494,0.9928
100,0.37142154916428655,0.93878,0.9916
100,0.37999281354032094,0.9450799999999998,0.9944
100,0.38789857988945975,0.948884,0.9948
100,0.3937482091525247,0.9447319999999999,0.9956
100,0.39623282441087015,0.940776,0.9952
100,0.39863603170681444,0.9323960000000001,0.9868
100,0.4067801230362224,0.9370720000000001,0.9888
100,0.42042662426928024,0.9443480000000001,0.9984
100,0.4206547007793657,0.943772,0.9884
100,0.42169869959472006,0.943972,0.9972
100,0.42501889885992616,0.9165960000000001,0.9836
100,0.43514651498172313,0.9217399999999999,0.9932
100,0.4389189338356328,0.9396519999999999,0.9924
100,0.44017128451460935,0.937424,0.996
100,0.44297850920451415,0.9232159999999999,0.996
